ID,ACCELERATION__range_count__max_1__min_-1,VELOCITY__range_count__max_1__min_-1,level_0__abs_energy,"level_0__agg_linear_trend__attr_""intercept""__chunk_len_10__f_agg_""max""","level_0__agg_linear_trend__attr_""intercept""__chunk_len_10__f_agg_""mean""","level_0__agg_linear_trend__attr_""intercept""__chunk_len_10__f_agg_""min""","level_0__agg_linear_trend__attr_""intercept""__chunk_len_50__f_agg_""max""","level_0__agg_linear_trend__attr_""intercept""__chunk_len_50__f_agg_""mean""","level_0__agg_linear_trend__attr_""intercept""__chunk_len_50__f_agg_""min""","level_0__agg_linear_trend__attr_""intercept""__chunk_len_5__f_agg_""max""","level_0__agg_linear_trend__attr_""intercept""__chunk_len_5__f_agg_""mean""","level_0__agg_linear_trend__attr_""intercept""__chunk_len_5__f_agg_""min""",level_0__c3__lag_1,level_0__c3__lag_2,level_0__c3__lag_3,"level_0__cwt_coefficients__coeff_10__w_20__widths_(2, 5, 10, 20)","level_0__cwt_coefficients__coeff_10__w_5__widths_(2, 5, 10, 20)","level_0__cwt_coefficients__coeff_11__w_10__widths_(2, 5, 10, 20)","level_0__cwt_coefficients__coeff_11__w_20__widths_(2, 5, 10, 20)","level_0__cwt_coefficients__coeff_12__w_10__widths_(2, 5, 10, 20)","level_0__cwt_coefficients__coeff_12__w_20__widths_(2, 5, 10, 20)","level_0__cwt_coefficients__coeff_13__w_20__widths_(2, 5, 10, 20)","level_0__cwt_coefficients__coeff_13__w_5__widths_(2, 5, 10, 20)","level_0__cwt_coefficients__coeff_14__w_20__widths_(2, 5, 10, 20)","level_0__cwt_coefficients__coeff_1__w_10__widths_(2, 5, 10, 20)","level_0__cwt_coefficients__coeff_1__w_20__widths_(2, 5, 10, 20)","level_0__cwt_coefficients__coeff_1__w_5__widths_(2, 5, 10, 20)","level_0__cwt_coefficients__coeff_2__w_20__widths_(2, 5, 10, 20)","level_0__cwt_coefficients__coeff_2__w_5__widths_(2, 5, 10, 20)","level_0__cwt_coefficients__coeff_3__w_20__widths_(2, 5, 10, 20)","level_0__cwt_coefficients__coeff_4__w_20__widths_(2, 5, 10, 20)","level_0__cwt_coefficients__coeff_4__w_5__widths_(2, 5, 10, 20)","level_0__cwt_coefficients__coeff_5__w_20__widths_(2, 5, 10, 20)","level_0__cwt_coefficients__coeff_6__w_10__widths_(2, 5, 10, 20)","level_0__cwt_coefficients__coeff_6__w_20__widths_(2, 5, 10, 20)","level_0__cwt_coefficients__coeff_6__w_5__widths_(2, 5, 10, 20)","level_0__cwt_coefficients__coeff_7__w_10__widths_(2, 5, 10, 20)","level_0__cwt_coefficients__coeff_7__w_20__widths_(2, 5, 10, 20)","level_0__cwt_coefficients__coeff_7__w_5__widths_(2, 5, 10, 20)","level_0__cwt_coefficients__coeff_8__w_10__widths_(2, 5, 10, 20)","level_0__cwt_coefficients__coeff_8__w_20__widths_(2, 5, 10, 20)","level_0__cwt_coefficients__coeff_8__w_2__widths_(2, 5, 10, 20)","level_0__cwt_coefficients__coeff_9__w_20__widths_(2, 5, 10, 20)","level_0__cwt_coefficients__coeff_9__w_5__widths_(2, 5, 10, 20)","level_0__fft_aggregated__aggtype_""kurtosis""","level_0__linear_trend__attr_""intercept""",level_0__minimum,level_0__time_reversal_asymmetry_statistic__lag_1,level_0__time_reversal_asymmetry_statistic__lag_2,level_0__time_reversal_asymmetry_statistic__lag_3
CONTROL05_DCHA,95.0,95.0,189956275.0,1059.0,1054.5,1050.0,1099.0,1074.5,1050.0,1054.0,1052.0,1050.0,1428086887.5,1427918212.5,1427749537.5,1728.1099827906125,549.1955745547383,1713.468231301746,1860.2199936474503,1668.2801810628068,1979.055355133238,2076.6704683984503,180.5301405691995,2168.657337295152,263.64497133620426,129.03533424829982,388.14343743653427,334.2388902560723,740.3238807515717,521.0882483039247,719.2021008721733,1175.8899169818478,911.4340124774523,1422.3193869931722,1096.3753582157233,1184.3696207516136,1554.9467552843812,1272.7103728298828,1066.7164669271133,1652.9952129036785,1426.9005862772788,1.719966905367792,1583.3966893173047,722.0130061808528,43.24240229595546,1050.0,1050.0,5065302.0,10130212.0,15194738.0
CONTROL05_IZDA,91.0,91.0,229450771.0,1209.8666666666668,1204.9333333333334,1200.0,1250.3333333333333,1225.1666666666667,1200.0,1204.1862068965518,1202.093103448276,1200.0,2057027164.5,2056846753.5,2056666342.5,1984.8843424097488,627.8785341558008,1960.5069324280087,2135.622669247834,1908.6281714871982,2271.1722280077497,2382.4541587445374,206.38005211280378,2487.290797030429,305.2238195319602,158.55002135408176,444.97280965398744,393.04026206418683,847.4106216595375,606.5263845620154,832.8608468643793,1344.9592867161862,1052.4462143345997,1628.8771938650907,1263.67345586183,1354.3213146252594,1780.254607334216,1465.0398564281174,1219.6987086411875,1892.0954085638339,1641.0740739280538,1.965945693334775,1819.7227906315281,825.4827128777359,50.96893774151123,1200.0,1200.0,6463214.0,12926057.333333334,19388538.0
CONTROL06_DCHA,15.0,15.0,301252075.0,1351.0,1346.5,1342.0,1391.0,1366.5,1342.0,1346.0,1344.0,1342.0,2849922925.5,2849710450.5,2849497975.5,2227.964047733689,702.3650692448055,2194.3702361608616,2396.337172013485,2136.1576024222986,2547.7094938419864,2671.9293298812768,230.85130170741556,2788.930395754994,344.5851291572621,186.49059071673182,498.77128201983754,448.70555919807464,948.786069719074,687.4078180843559,940.4577900612318,1505.0116233980198,1185.9377611887373,1824.4185843705015,1422.04898236011,1515.2089181589781,1993.5460406080515,1647.111759488875,1364.521897463845,2118.4435937888134,1843.824964303753,2.198805612608728,2043.4448175379428,923.4340352174555,53.68553360133902,1342.0,1342.0,8033190.0,16065988.0,24098402.0
CONTROL06_IZDA,48.0,48.0,368369575.0,1501.0,1496.5,1492.0,1541.0,1516.5,1492.0,1496.0,1494.0,1492.0,3852645400.5,3852410425.5,3852175450.5,2484.7383961633864,781.0480288458672,2441.4089372871385,2671.7398321330306,2376.50559284667,2839.8263459183536,2977.7129916018885,256.70121325102053,3107.563816196682,386.1639773530122,216.00527725874178,555.6006542372887,507.5069302299371,1055.8728106270369,772.8459532455545,1054.1165345076693,1674.080993132347,1326.9499608691835,2030.9763912424257,1589.3470769548,1685.1606120326226,2218.853892657895,1839.4412389369788,1517.5041391779203,2357.543789448966,2057.998446166657,2.4447844005744144,2279.770910802,1026.9037419143385,59.05190826871474,1492.0,1492.0,9822990.0,19645588.0,29467802.0
CONTROL07_DCHA,62.0,62.0,442237075.0,1651.0,1646.5,1642.0,1691.0,1666.5,1642.0,1646.0,1644.0,1642.0,5066845375.5,5066587900.5,5066330425.5,2741.5127445930357,859.730988446932,2688.4476384133836,2947.142492252528,2616.8535832710727,3131.943197994769,3283.496653322598,282.5511247946244,3426.197236638321,427.7428255487624,245.5199638007355,612.4300264547398,566.3083012618158,1162.9595515350015,858.2840884067043,1167.7752789541391,1843.1503628666812,1467.9621605495647,2237.5341981143442,1756.6451715495552,1855.112305906267,2444.161744707721,2031.7707183850664,1670.4863808919954,2596.643985109124,2272.1719280296093,2.690763188540433,2516.0970040660245,1130.373448611221,64.41905840538126,1642.0,1642.0,11792790.0,23585188.0,35377202.0
CONTROL07_IZDA,59.0,59.0,522854575.0,1801.0,1796.5,1792.0,1841.0,1816.5,1792.0,1796.0,1794.0,1792.0,6512772850.5,6512492875.5,6512212900.5,2998.2870930227336,938.4139480479892,2935.4863395396605,3222.545152372074,2857.2015736954495,3424.060050071152,3589.280315043177,308.4010363382293,3744.8306570801064,469.32167374451257,275.0346503427129,669.259398672193,625.1096722936783,1270.0462924429664,943.7222235679029,1281.4340234005765,2012.2197326010073,1608.974360230027,2444.0920049862684,1923.9432661442781,2025.0639997799167,2669.469596757559,2224.100197833154,1823.4686226060705,2835.7441807692994,2486.345409892513,2.936741976506127,2752.423097330049,1233.8431553081089,69.78679523051123,1792.0,1792.0,13942590.0,27884788.0,41826602.0
CONTROL07_IZDA_aug0_012,57.0,61.0,181223279575.0,34693.0,34688.5,34684.0,34733.0,34708.5,34684.0,34688.0,34686.0,34684.0,41993787545524.5,41993782331749.5,41993777117974.5,59303.76621668012,18192.013329368805,57106.132722506765,63612.84046338512,55560.70891395537,67479.44337338272,70641.52165714564,5976.769639619732,73614.76709153359,9586.731506108361,6747.015115271598,13130.804138514732,13519.074312161227,24752.026838741225,19678.596501710665,26204.523505619112,39085.751127945405,32530.129506153902,47738.08789586117,38609.069448875634,39292.071432392906,52074.97539424506,44398.10845121298,35369.41458566842,55265.63508513005,49450.306512792384,56.87497060166456,54574.008828267404,23922.68043980092,1247.4535661714863,34684.0,34684.0,4832620590.0,9665240788.0,14497860602.0
CONTROL08_DCHA,73.0,73.0,610222075.0,1951.0,1946.5,1942.0,1991.0,1966.5,1942.0,1946.0,1944.0,1942.0,8210677825.5,8210375350.5,8210072875.5,3255.0614414523825,1017.0969076490535,3182.525040665923,3497.9478124916036,3097.5495641198495,3716.176902147584,3895.063976763837,334.25094788183225,4063.464077521746,510.90052194026276,304.5493368846904,726.0887708896462,683.9110433255244,1377.1330333509272,1029.160358729134,1395.0927678469814,2181.28910233535,1749.9865599104733,2650.6498118581753,2091.241360738952,2195.015693653559,2894.7774488073965,2416.4296772812904,1976.4508643201436,3074.8443764294752,2700.5188917554333,3.182720764471814,2988.74919059409,1337.3128620049908,75.1549865356351,1942.0,1942.0,16272390.0,32544388.0,48816002.0
CONTROL08_IZDA,79.0,79.0,704339575.0,2101.0,2096.5,2092.0,2141.0,2116.5,2092.0,2096.0,2094.0,2092.0,10180810300.5,10180485325.5,10180160350.5,3511.835789882064,1095.7798672501144,3429.5637417922144,3773.3504726111332,3337.8975545442236,4008.293754223967,4200.8476384844325,360.10085942543725,4382.097497963467,552.4793701360129,334.06402342674915,782.9181431070872,742.7124143574031,1484.2197742589021,1114.598493890235,1508.7515122935001,2350.358472069674,1890.9987595908544,2857.207618730128,2258.539455333691,2364.9673875272056,3120.085300857211,2608.7591567294107,2129.4331060342197,3313.944572089622,2914.6923736183207,3.428699552436863,3225.0752838581634,1440.7825687018762,80.523536999227,2092.0,2092.0,18782190.0,37563988.0,56345402.0
CONTROL09_DCHA,63.0,63.0,805207075.0,2251.0,2246.5,2242.0,2291.0,2266.5,2242.0,2246.0,2244.0,2242.0,12443420275.5,12443072800.5,12442725325.5,3768.6101383117457,1174.4628268511744,3676.602442918448,4048.7531327307115,3578.2455449686236,4300.41060630035,4506.6313002050765,385.95077096904055,4700.7309184051865,594.0582183317631,363.5787099686452,839.7475153245505,801.5137853893143,1591.3065151668466,1200.0366290514662,1622.4102567399211,2519.427841804016,2032.0109592713331,3063.7654256020355,2425.837549928349,2534.919081400847,3345.3931529070605,2801.0886361774983,2282.4153477482982,3553.0447677497973,3128.8658554812896,3.6746783404035295,3461.401377122123,1544.2522753987612,85.89237617712328,2242.0,2242.0,21471990.0,42943588.0,64414802.0
