ID,max_intensity__abs_energy,max_intensity__absolute_maximum,max_intensity__absolute_sum_of_changes,"max_intensity__change_quantiles__f_agg_""mean""__isabs_False__qh_1.0__ql_0.2","max_intensity__change_quantiles__f_agg_""mean""__isabs_False__qh_1.0__ql_0.4","max_intensity__change_quantiles__f_agg_""mean""__isabs_True__qh_1.0__ql_0.0","max_intensity__change_quantiles__f_agg_""mean""__isabs_True__qh_1.0__ql_0.2","max_intensity__change_quantiles__f_agg_""mean""__isabs_True__qh_1.0__ql_0.4",max_intensity__cid_ce__normalize_False,"max_intensity__cwt_coefficients__coeff_0__w_10__widths_(2, 5, 10, 20)","max_intensity__cwt_coefficients__coeff_0__w_20__widths_(2, 5, 10, 20)","max_intensity__cwt_coefficients__coeff_0__w_2__widths_(2, 5, 10, 20)","max_intensity__cwt_coefficients__coeff_0__w_5__widths_(2, 5, 10, 20)","max_intensity__cwt_coefficients__coeff_1__w_10__widths_(2, 5, 10, 20)","max_intensity__cwt_coefficients__coeff_1__w_20__widths_(2, 5, 10, 20)","max_intensity__cwt_coefficients__coeff_1__w_2__widths_(2, 5, 10, 20)","max_intensity__cwt_coefficients__coeff_1__w_5__widths_(2, 5, 10, 20)","max_intensity__cwt_coefficients__coeff_2__w_10__widths_(2, 5, 10, 20)","max_intensity__cwt_coefficients__coeff_2__w_20__widths_(2, 5, 10, 20)","max_intensity__cwt_coefficients__coeff_2__w_2__widths_(2, 5, 10, 20)","max_intensity__cwt_coefficients__coeff_2__w_5__widths_(2, 5, 10, 20)","max_intensity__fft_coefficient__attr_""abs""__coeff_0","max_intensity__fft_coefficient__attr_""abs""__coeff_1","max_intensity__fft_coefficient__attr_""imag""__coeff_1","max_intensity__fft_coefficient__attr_""real""__coeff_0","max_intensity__fft_coefficient__attr_""real""__coeff_1",max_intensity__friedrich_coefficients__coeff_0__m_3__r_30,max_intensity__friedrich_coefficients__coeff_1__m_3__r_30,max_intensity__friedrich_coefficients__coeff_3__m_3__r_30,max_intensity__index_mass_quantile__q_0.3,max_intensity__lempel_ziv_complexity__bins_5,"max_intensity__linear_trend__attr_""intercept""","max_intensity__linear_trend__attr_""stderr""",max_intensity__max_langevin_fixed_point__m_3__r_30,max_intensity__maximum,max_intensity__mean,max_intensity__mean_abs_change,max_intensity__mean_second_derivative_central,max_intensity__median,max_intensity__minimum,max_intensity__quantile__q_0.1,max_intensity__quantile__q_0.2,max_intensity__quantile__q_0.3,max_intensity__quantile__q_0.4,max_intensity__quantile__q_0.6,max_intensity__quantile__q_0.7,max_intensity__quantile__q_0.8,max_intensity__quantile__q_0.9,max_intensity__ratio_beyond_r_sigma__r_1,max_intensity__root_mean_square,max_intensity__sum_values,max_intensity__symmetry_looking__r_0.15000000000000002,max_intensity__symmetry_looking__r_0.2
ID115_DCHA,0.1668413307543244,0.3336018724723149,0.3362431512289336,0.14832682705624167,0.14832682705624167,0.1681215756144668,0.14832682705624167,0.14832682705624167,0.23940215645467455,0.17446411346088367,0.12746012839538315,0.14650330477680723,0.21981752081464204,0.1815030002703967,0.1305409084727217,0.3104032540236386,0.24539481210340996,0.1807669450923657,0.13048073189604273,0.29699450157040247,0.2436602633388755,0.664562466188011,0.17158193494229207,-0.16274031051934298,0.664562466188011,-0.0543686649698957,-7.8651198495348345,-1.441648908248973,0.2269819113526133,0.6666666666666666,1.0,0.24131557062089545,0.09706503693759644,0.26893442513132054,0.3336018724723149,0.22152082206267032,0.1681215756144668,-0.16812157561446683,0.1852750454160732,0.14568554829962294,0.15360344772291298,0.16152134714620303,0.1694392465694931,0.17735714599278316,0.21494041082732154,0.24460577623856986,0.2742711416498182,0.30393650706106656,0.3333333333333333,0.23582573421513633,0.664562466188011,0.0,1.0
ID115_IZDA,0.22555435027536944,0.3847939475952626,0.3760320289485366,0.18328007514385447,0.18328007514385447,0.1880160144742683,0.18328007514385447,0.18328007514385447,0.2659791376034204,0.20392528232148044,0.14888223337150172,0.15886083720502664,0.25516558836541864,0.21218211177942556,0.15285976536121917,0.35629883314146593,0.2864735375029713,0.2120060088773483,0.15284536797620435,0.35309075813468965,0.2860585427031982,0.7783498138372511,0.18819486991629802,-0.16692808862393926,0.7783498138372511,-0.0869040982415134,-5.455123197240631,-1.1984406728396282,0.25578663796323675,0.6666666666666666,0.6666666666666666,0.2641858772761642,0.10855109656867938,0.31450675765328034,0.3847939475952626,0.2594499379457504,0.1880160144742683,-0.18801601447426827,0.20151387245140812,0.19204199379058048,0.193936369522746,0.19583074525491154,0.19772512098707706,0.1996194967192426,0.238169887480179,0.2748259025089499,0.3114819175377208,0.3481379325664917,0.3333333333333333,0.27419843804282173,0.7783498138372512,0.0,0.0
ID116_DCHA,0.12398740277572151,0.28392568337195034,0.27423657063913953,0.12552551059407255,0.12552551059407255,0.13711828531956977,0.12552551059407255,0.12552551059407255,0.19460635444309143,0.15152067524833485,0.11061368921461474,0.12342652048423419,0.19027121227260102,0.15757585112329875,0.11343398002369325,0.26684227513580233,0.21288421264961285,0.15714478114333152,0.11339873767165531,0.2589894526519454,0.21186837589783553,0.5775404794767115,0.13858066765060456,-0.128787555822741,0.5775404794767115,-0.05116998057153907,-10.512510481093415,-1.6227947565969623,0.1894737275236342,0.6666666666666666,0.6666666666666666,0.20410626788440106,0.0791652789400735,0.23115077279932253,0.28392568337195034,0.19251349315890384,0.13711828531956977,-0.13711828531956977,0.1584001727778778,0.1352146233268834,0.13985173321708227,0.14448884310728116,0.14912595299748002,0.1537630628876789,0.1835052748966923,0.2086103770155068,0.23371547913432134,0.25882058125313584,0.3333333333333333,0.203295681849305,0.5775404794767115,0.0,0.0
ID116_IZDA,0.14313251689073864,0.3120137570843765,0.32156350035027653,0.15644052608287143,0.15644052608287143,0.16078175017513827,0.15644052608287143,0.15644052608287143,0.22746260095233173,0.16095306252979885,0.11761492493827956,0.12587346045440315,0.20164467200612424,0.167597499381648,0.12068418262177232,0.28288280672679494,0.2263667947950224,0.16743607371550698,0.12067098518187047,0.27994210763046606,0.2259863875944126,0.614477770902853,0.16095747845079583,-0.14300069046401698,0.614477770902853,-0.07387903894916889,-8.335797618214155,-1.5502133845346713,0.21177369174753952,0.6666666666666666,0.6666666666666666,0.20916714772655118,0.09282738674439524,0.2528381233712915,0.3120137570843765,0.20482592363428434,0.16078175017513827,-0.16078175017513824,0.15557323100150508,0.1468907828169714,0.14862727245387813,0.15036376209078486,0.15210025172769162,0.15383674136459835,0.18686133621807935,0.21814944143465365,0.24943754665122797,0.28072565186780224,0.3333333333333333,0.21842810937143495,0.614477770902853,0.0,0.0
ID117_DCHA,0.0662975318452218,0.21182699631050414,0.21678200291523292,0.10459327734452843,0.10459327734452843,0.10839100145761646,0.10459327734452843,0.10459327734452843,0.15338208438682885,0.10969721990346391,0.08015147416218954,0.08634254820137684,0.13748642457723043,0.11420765089166107,0.08223367730756727,0.19290647159419672,0.15426384971118406,0.11406643492774268,0.08222213212245795,0.19033393361179723,0.15393106762764192,0.41869898601627953,0.10859041082113285,-0.09715828636243093,0.41869898601627953,-0.048498914559176196,-18.19727633639391,-2.2712934907697893,0.14337139751186426,0.6666666666666666,0.6666666666666666,0.14336405278518116,0.06257957386928797,0.17168106777355954,0.21182699631050414,0.13956632867209315,0.10839100145761646,-0.10839100145761646,0.10723371896597571,0.09963827073979965,0.10115736038503487,0.10267645003027008,0.10419553967550528,0.1057146293207405,0.1281523744348814,0.14907102990378707,0.16998968537269277,0.19090834084159847,0.3333333333333333,0.1486579203464807,0.4186989860162795,0.0,0.0
ID117_IZDA,0.1033848111823576,0.26291853061462606,0.26457717707167805,0.12421722227017393,0.12421722227017393,0.13228858853583902,0.12421722227017393,0.12421722227017393,0.18743221500157886,0.1374276617512356,0.10038867710720563,0.11036443400715225,0.17248144015295896,0.14301960009052933,0.10295345330365702,0.24224243909526053,0.19322183232635942,0.14271947145205977,0.10292891612958979,0.23677498130475813,0.19251456502548756,0.5241784147722001,0.13302522887403004,-0.12155528653213818,0.5241784147722001,-0.05403724486942185,-12.055505524718031,-1.8091104927101662,0.1771076945938541,0.6666666666666666,0.6666666666666666,0.18279750452306515,0.07637685220188231,0.21306718184051168,0.26291853061462606,0.17472613825740002,0.13228858853583902,-0.13228858853583902,0.13870130834445213,0.1225585758131219,0.12578712231938796,0.129015668825654,0.13224421533192005,0.13547276183818607,0.1635447527984869,0.1883881972525217,0.2132316417065565,0.23807508616059128,0.3333333333333333,0.1856383681447683,0.5241784147722001,0.0,0.0
ID118_DCHA,0.18833467465916315,0.3492867642675464,0.3376883444617077,0.1442030183939283,0.1442030183939283,0.16884417223085385,0.1442030183939283,0.1442030183939283,0.24131117238427757,0.18656893524950682,0.13621653262987926,0.15891933644772838,0.2352057253235727,0.19395752202495845,0.139499862641236,0.3316667390610636,0.2622313225954943,0.19304125633858318,0.13942495286004,0.3149750831408294,0.2600720992631635,0.7101719483409316,0.17415485604360084,-0.1675632076342124,0.7101719483409316,-0.04746035536003862,-7.335397378389363,-1.3379223917318948,0.23732199810411386,0.6666666666666666,1.0,0.26136513661723604,0.097482228288583,0.28315754490119127,0.3492867642675464,0.23672398278031048,0.16884417223085385,-0.16884417223085385,0.2050837458736181,0.15580143819976702,0.16565789973453723,0.17551436126930747,0.18537082280407768,0.1952272843388479,0.23392434955240377,0.2627649532311894,0.2916055569099751,0.32044616058876074,0.3333333333333333,0.2505558318746297,0.7101719483409314,0.0,1.0
ID118_IZDA,0.20757585018841568,0.3686086002413648,0.35902386446229256,0.1698049679429728,0.1698049679429728,0.17951193223114628,0.1698049679429728,0.1698049679429728,0.2542390960063048,0.19578925466961453,0.14294207926440503,0.15597167232112577,0.24542868650297742,0.2036725160552389,0.14667149223114462,0.343506351644252,0.2750755696199575,0.20331156874104309,0.14664198279438218,0.3369309571233431,0.2742249802394506,0.7468019362618019,0.18029755761084304,-0.1638683712617898,0.7468019362618019,-0.07519551968331292,-6.083997713746492,-1.2525805309586944,0.24537663806527174,0.6666666666666666,0.6666666666666666,0.25864094304210744,0.10364126239640216,0.30051530004982496,0.3686086002413648,0.24893397875393397,0.17951193223114628,-0.17951193223114625,0.198803632298392,0.17938970372204507,0.18327248943731447,0.18715527515258384,0.19103806086785324,0.19492084658312261,0.23276462588698657,0.26672561947558115,0.3006866130641757,0.33464760665277027,0.3333333333333333,0.2630436276795262,0.7468019362618019,0.0,0.0
ID119_DCHA,0.15983717453231147,0.32239551561630936,0.31043298002531716,-0.15464515857065358,-0.15464515857065358,0.15521649001265858,0.15464515857065358,0.15464515857065358,0.21951075231735853,0.17197097210499263,0.1255173087140249,0.13088773847906032,0.21472316692088436,0.17892820036513268,0.12897085488221585,0.2987028457072131,0.24146957977348252,0.17894944496265927,0.12897259174541612,0.2990898595584911,0.24151964367017484,0.656753566823611,0.15521964447420825,-0.1339266358944588,0.656753566823611,-0.07846524216933676,-7.589542723496223,-1.4065617246036943,0.21288196667555612,0.6666666666666666,0.6666666666666666,0.21834652416586536,0.08961428229147728,0.2649932660334438,0.32239551561630936,0.21891785560787033,0.15521649001265858,-0.15521649001265858,0.16775035704565577,0.1666076941616458,0.1668362267384478,0.1670647593152498,0.16729329189205178,0.16752182446885377,0.19867938875978647,0.2296084204739172,0.2605374521880479,0.29146648390217866,0.3333333333333333,0.23082256860505898,0.656753566823611,0.0,0.0
ID119_IZDA,0.17857712001763237,0.3453313005578826,0.34644839852264186,0.16683263297347362,0.16683263297347362,0.17322419926132093,0.16683263297347362,0.16683263297347362,0.24514271487987466,0.18068373410231103,0.1319737778849627,0.14227096379743198,0.22638415566190354,0.18805570509964323,0.13542623931740835,0.317143217744166,0.2539823665260488,0.18781803875859016,0.1354068087811887,0.3128136386191722,0.2534222945768945,0.6895455031510058,0.1735775894767572,-0.15555181588576947,0.6895455031510058,-0.07702475019888949,-6.849160004940008,-1.3690614148188187,0.2319605011738377,0.6666666666666666,0.6666666666666666,0.2362400673381826,0.100011038073681,0.28071763145463247,0.3453313005578826,0.2298485010503353,0.17322419926132093,-0.1732241992613209,0.17849866758440897,0.16571553500871436,0.16827216152385327,0.1708287880389922,0.17338541455413112,0.17594204106927006,0.21186519417910368,0.2452317207737984,0.27859824736849315,0.3119647739631879,0.3333333333333333,0.24397890620408996,0.6895455031510059,0.0,0.0
ID11_DCHA,0.3953057281884551,0.5131706839151889,0.515358646797619,0.23112836521034424,0.23112836521034424,0.2576793233988095,0.23112836521034424,0.23112836521034424,0.36634297342243066,0.2687754606756991,0.19634460020925898,0.22304896458109322,0.3382739295032497,0.2796309578180601,0.20116911888656686,0.4768618693112935,0.3779826528401455,0.278643677267422,0.20108840324794033,0.45887653220543656,0.3756560796286929,1.024153404947948,0.26175082397090005,-0.24615064437938425,1.024153404947948,-0.0890132244167069,-3.279921216149044,-0.9316673882889244,0.34766151409554413,0.6666666666666666,0.6666666666666666,0.3679354265044479,0.1487712267289033,0.4144212556247768,0.5131706839151889,0.3413844683159826,0.2576793233988095,-0.2576793233988095,0.2820423187048447,0.2289404023279142,0.2395607856033003,0.2501811688786864,0.2608015521540725,0.2714219354294586,0.3282679917469135,0.3744936647889824,0.42071933783105125,0.4669450108731201,0.3333333333333333,0.3629994160640184,1.024153404947948,0.0,0.0
ID11_IZDA,0.6296618559658307,0.6509935550002617,0.6603265790256939,0.32856191377588817,0.32856191377588817,0.33016328951284696,0.32856191377588817,0.32856191377588817,0.4669268939484958,0.3384422796329455,0.24723424205738728,0.2595838552895114,0.4232113240605013,0.35237862477676307,0.2538633020570893,0.591628536307732,0.47575164540649784,0.35231907863503287,0.2538584338310776,0.5905437813901167,0.4756113221132806,1.2926540859750912,0.33017493992533226,-0.28731662818437215,1.2926540859750912,-0.1626795811509853,-1.8796654714374565,-0.730660236460011,0.4391433389920013,0.6666666666666666,0.6666666666666666,0.4324860710619892,0.19061986407677453,0.5303186137467044,0.6509935550002617,0.43088469532503043,0.33016328951284696,-0.33016328951284696,0.3224316412243735,0.31922888975045594,0.31986944004523943,0.320509990340023,0.32115054063480647,0.32179109092959,0.3881440239795511,0.4538564067347287,0.5195687894899065,0.585281172245084,0.3333333333333333,0.4581345711927267,1.2926540859750912,0.0,0.0
ID120_DCHA,0.25304238021160863,0.40944521822153984,0.40820035759899453,0.18103697155675036,0.18103697155675036,0.20410017879949727,0.18103697155675036,0.18103697155675036,0.2904782074934663,0.215287080249094,0.15725392595105273,0.17984769596981873,0.271078444732392,0.22394618958382892,0.16109650386913743,0.38222419414116793,0.3027321148110089,0.22308859884136037,0.16102639108871872,0.3666014224860475,0.3007111617531089,0.820135297065625,0.20797263659181806,-0.1967292631222748,0.820135297065625,-0.06745527853562827,-5.194802025622174,-1.162597306409501,0.27743991217944236,0.6666666666666666,1.0,0.2964416395979553,0.11783729317154049,0.3308201334367742,0.40944521822153984,0.27337843235520837,0.20410017879949727,-0.20410017879949724,0.22840824666478948,0.1822818321792957,0.19150711507639445,0.2007323979734932,0.20995768087059197,0.21918296376769072,0.26461564097613954,0.3008230352874896,0.3370304295988397,0.3732378239101898,0.3333333333333333,0.2904263419019291,0.820135297065625,0.0,1.0
