ID,ACCELERATION__absolute_sum_of_changes,"ACCELERATION__change_quantiles__f_agg_""mean""__isabs_True__qh_0.6__ql_0.0","ACCELERATION__change_quantiles__f_agg_""mean""__isabs_True__qh_0.6__ql_0.2","ACCELERATION__change_quantiles__f_agg_""mean""__isabs_True__qh_0.8__ql_0.0","ACCELERATION__change_quantiles__f_agg_""mean""__isabs_True__qh_0.8__ql_0.2","ACCELERATION__change_quantiles__f_agg_""mean""__isabs_True__qh_0.8__ql_0.4","ACCELERATION__change_quantiles__f_agg_""mean""__isabs_True__qh_1.0__ql_0.2",ACCELERATION__fourier_entropy__bins_100,ACCELERATION__kurtosis,ACCELERATION__large_standard_deviation__r_0.25,ACCELERATION__number_crossing_m__m_-1,ACCELERATION__number_crossing_m__m_1,ACCELERATION__quantile__q_0.2,ACCELERATION__quantile__q_0.3,ACCELERATION__quantile__q_0.6,ACCELERATION__quantile__q_0.7,ACCELERATION__quantile__q_0.8,ACCELERATION__range_count__max_1__min_-1,ACCELERATION__ratio_beyond_r_sigma__r_1,DISTANCE_ANG__kurtosis,DISTANCE_ANG__large_standard_deviation__r_0.30000000000000004,DISTANCE_ANG__longest_strike_below_mean,SMOOTHED_AMPLITUDE__absolute_sum_of_changes,"SMOOTHED_AMPLITUDE__change_quantiles__f_agg_""mean""__isabs_True__qh_0.6__ql_0.0","SMOOTHED_AMPLITUDE__change_quantiles__f_agg_""mean""__isabs_True__qh_0.8__ql_0.0","SMOOTHED_AMPLITUDE__change_quantiles__f_agg_""mean""__isabs_True__qh_0.8__ql_0.2","SMOOTHED_AMPLITUDE__change_quantiles__f_agg_""mean""__isabs_True__qh_1.0__ql_0.0","SMOOTHED_AMPLITUDE__change_quantiles__f_agg_""mean""__isabs_True__qh_1.0__ql_0.2",SMOOTHED_AMPLITUDE__longest_strike_below_mean,SMOOTHED_AMPLITUDE__mean_abs_change,VELOCITY__absolute_sum_of_changes,"VELOCITY__change_quantiles__f_agg_""mean""__isabs_True__qh_0.6__ql_0.0","VELOCITY__change_quantiles__f_agg_""mean""__isabs_True__qh_0.6__ql_0.2","VELOCITY__change_quantiles__f_agg_""mean""__isabs_True__qh_0.8__ql_0.0","VELOCITY__change_quantiles__f_agg_""mean""__isabs_True__qh_0.8__ql_0.2","VELOCITY__change_quantiles__f_agg_""mean""__isabs_True__qh_0.8__ql_0.4","VELOCITY__change_quantiles__f_agg_""mean""__isabs_True__qh_1.0__ql_0.2",VELOCITY__fourier_entropy__bins_100,VELOCITY__kurtosis,VELOCITY__large_standard_deviation__r_0.25,VELOCITY__mean_abs_change,VELOCITY__number_crossing_m__m_-1,VELOCITY__number_crossing_m__m_1,VELOCITY__quantile__q_0.2,VELOCITY__quantile__q_0.3,VELOCITY__quantile__q_0.6,VELOCITY__quantile__q_0.7,VELOCITY__quantile__q_0.8,VELOCITY__range_count__max_1__min_-1,VELOCITY__ratio_beyond_r_sigma__r_1
ID112_DCHA,100.11743544799648,0.5788037312451906,0.6053984650719357,0.7048656936696083,0.766853470753474,0.6515740466913779,0.6888043003693084,0.7171674270071108,-1.37530770599938,1.0,36.0,38.0,-1.0117668343123933,-0.710960601588229,0.40279561480950243,0.7491896289594362,1.032673816473962,87.0,0.44666666666666666,-1.3096278356634838,1.0,6.0,8.291961133328465,0.0528260763599811,0.057034339461665064,0.06596136353188446,0.055650745861264866,0.05994283353565175,5.0,0.055650745861264866,100.11743544799648,0.5788037312451906,0.6053984650719357,0.7048656936696083,0.766853470753474,0.6515740466913779,0.6888043003693084,0.7171674270071108,-1.37530770599938,1.0,0.6719290969664193,36.0,38.0,-1.0117668343123933,-0.710960601588229,0.40279561480950243,0.7491896289594362,1.032673816473962,87.0,0.44666666666666666
ID112_IZDA,155.49388770248095,0.7161733216566722,0.47332724440888096,0.9510043583194954,0.8114091283235437,0.579358121550084,0.9902700178056024,1.442114201460108,-1.3431913499319919,1.0,44.0,44.0,-1.3531845434764918,-1.0318209436020491,0.460838568099027,0.9802755391832854,1.4293628435338745,59.0,0.4666666666666667,-1.4715571136499976,1.0,7.0,11.440815363928326,0.06492921387144024,0.0743861254762859,0.07296411340081467,0.0767839957310626,0.07720528575590344,7.0,0.0767839957310626,155.49388770248095,0.7161733216566722,0.47332724440888096,0.9510043583194954,0.8114091283235437,0.579358121550084,0.9902700178056024,1.442114201460108,-1.3431913499319919,1.0,1.0435831389428252,44.0,44.0,-1.3531845434764918,-1.0318209436020491,0.460838568099027,0.9802755391832854,1.4293628435338745,59.0,0.4666666666666667
ID114_DCHA,97.32657945406015,0.6402726388433542,0.513953240706621,0.6768020460641723,0.653503549113759,0.5012955282884906,0.6295375972037307,0.44324405498086755,-1.029062715931798,0.0,32.0,30.0,-0.9271601878435646,-0.5914057306697986,0.3673397300964196,0.7132949182481474,0.8922640272538179,96.0,0.37333333333333335,-1.1134029270935328,0.0,6.0,8.318145518341414,0.049762120380107376,0.05537166119845152,0.061169729415755644,0.05582647998886855,0.05951170238410814,6.0,0.05582647998886855,97.32657945406015,0.6402726388433542,0.513953240706621,0.6768020460641723,0.653503549113759,0.5012955282884906,0.6295375972037307,0.44324405498086755,-1.029062715931798,0.0,0.653198519825907,32.0,30.0,-0.9271601878435646,-0.5914057306697986,0.3673397300964196,0.7132949182481474,0.8922640272538179,96.0,0.37333333333333335
ID114_IZDA,62.2902842326612,0.35090529011868327,0.33426001238798847,0.4167684126105498,0.43602239874363075,0.4158074389811334,0.43370573637901205,0.3522258876235754,-1.2013786144624556,1.0,6.0,16.0,-0.7124868904501339,-0.5072585052468706,0.1387522207865601,0.44388786506293026,0.6648441323267271,135.0,0.4429530201342282,-1.4491406466305674,1.0,6.0,5.655033913821096,0.03644467909552197,0.0402795543927145,0.046770414893883665,0.03820968860689929,0.0410710924286145,6.0,0.03820968860689929,62.2902842326612,0.35090529011868327,0.33426001238798847,0.4167684126105498,0.43602239874363075,0.4158074389811334,0.43370573637901205,0.3522258876235754,-1.2013786144624556,1.0,0.4208802988693324,6.0,16.0,-0.7124868904501339,-0.5072585052468706,0.1387522207865601,0.44388786506293026,0.6648441323267271,135.0,0.4429530201342282
ID115_DCHA,52.326140387181404,0.34683235291177394,0.06775008370659498,0.2951072932255791,0.11935487621733498,0.11354546118904384,0.2532106701441382,1.0169371014761952,0.08917894921423741,0.0,16.0,14.0,-0.4889906648583409,-0.13852372074750427,0.03927827942102902,0.12190390231677253,0.518551820212586,108.0,0.31333333333333335,-1.7385304530853765,1.0,9.0,5.800910654714107,0.05649406087382062,0.04754502416221371,0.0603249983834795,0.03893228627324904,0.04489688318506086,9.0,0.03893228627324904,52.326140387181404,0.34683235291177394,0.06775008370659498,0.2951072932255791,0.11935487621733498,0.11354546118904384,0.2532106701441382,1.0169371014761952,0.08917894921423741,0.0,0.35118215024953964,16.0,14.0,-0.4889906648583409,-0.13852372074750427,0.03927827942102902,0.12190390231677253,0.518551820212586,108.0,0.31333333333333335
ID115_IZDA,63.115844498554964,0.3895684079464915,0.061494490668819235,0.35529591617312606,0.12396888998542899,0.12082033310041981,0.29692841259875663,0.7669090171002361,0.06013383606288869,0.0,16.0,18.0,-0.41938617139321654,-0.06865307716693171,0.09904632772028917,0.24085898261857874,0.6795248311099659,101.0,0.3333333333333333,-1.2307296105965242,1.0,8.0,6.572978034240665,0.06946346367869195,0.05413180378971922,0.049944687218922916,0.04411394653852795,0.03781755523289022,7.0,0.04411394653852795,63.115844498554964,0.3895684079464915,0.061494490668819235,0.35529591617312606,0.12396888998542899,0.12082033310041981,0.29692841259875663,0.7669090171002361,0.06013383606288869,0.0,0.4235962718023823,16.0,18.0,-0.41938617139321654,-0.06865307716693171,0.09904632772028917,0.24085898261857874,0.6795248311099659,101.0,0.3333333333333333
ID116_DCHA,178.827600838877,0.8246154115010591,0.7211481096392665,1.1243761351948558,1.0109514888103337,0.6797948260292709,1.1033197483229231,1.004478127387938,-1.3132258358141962,0.0,56.0,60.0,-1.335357748169891,-0.9548845134874193,0.37125655592565054,1.0407646220954356,1.2886515775660055,59.0,0.4594594594594595,-1.7052148910703546,1.0,3.0,10.466384183387385,0.056589236940538065,0.06356578651543354,0.05121034157303565,0.07119989240399581,0.06875154227853592,7.0,0.07119989240399581,178.827600838877,0.8246154115010591,0.7211481096392665,1.1243761351948558,1.0109514888103337,0.6797948260292709,1.1033197483229231,1.004478127387938,-1.3132258358141962,0.0,1.216514291420932,56.0,60.0,-1.335357748169891,-0.9548845134874193,0.37125655592565054,1.0407646220954356,1.2886515775660055,59.0,0.4594594594594595
ID116_IZDA,222.4484006503571,0.9044182566172078,0.6837084482206278,1.3529364050440096,1.2075295559526171,0.7952136394737607,1.4077882230794172,1.0759798379158372,-1.2862641926938299,1.0,58.0,64.0,-1.418785302794024,-0.9786992957329241,0.17694880026280382,1.045874788511812,1.5762936737363933,57.0,0.5100671140939598,-1.530706277200026,1.0,3.0,11.49754131659154,0.06552156509606034,0.07347028616487938,0.047483727132582136,0.07768608997696987,0.06743401406482788,6.0,0.07768608997696987,222.4484006503571,0.9044182566172078,0.6837084482206278,1.3529364050440096,1.2075295559526171,0.7952136394737607,1.4077882230794172,1.0759798379158372,-1.2862641926938299,1.0,1.5030297341240344,58.0,64.0,-1.418785302794024,-0.9786992957329241,0.17694880026280382,1.045874788511812,1.5762936737363933,57.0,0.5100671140939598
ID117_DCHA,116.58434913138075,0.7706822798408463,0.9356734823158367,0.8871790405498045,1.0622781599300128,0.7102570254190725,0.8234518473853997,0.5371436256403422,-1.5138728712263467,1.0,38.0,40.0,-1.3013528619648773,-0.9293813993546778,0.5104104391413615,0.9485631974484712,1.1616085457319223,66.0,0.5,-1.525712010895761,1.0,5.0,9.987029149991766,0.062077917435578445,0.06893847809473756,0.08304356042844858,0.06702704127511253,0.07332792367953685,5.0,0.06702704127511253,116.58434913138075,0.7706822798408463,0.9356734823158367,0.8871790405498045,1.0622781599300128,0.7102570254190725,0.8234518473853997,0.5371436256403422,-1.5138728712263467,1.0,0.7824452961837635,38.0,40.0,-1.3013528619648773,-0.9293813993546778,0.5104104391413615,0.9485631974484712,1.1616085457319223,66.0,0.5
ID117_IZDA,155.39574930843577,0.7711572815764791,0.6952408137662887,1.0380222225217721,1.0336218027200998,0.7162614534024445,1.0430823899498367,1.446941834885733,-1.2250564872799072,1.0,44.0,48.0,-1.2862591154031655,-0.9162975452732643,0.5035076635703216,1.0500957728595695,1.2647584457745653,63.0,0.41333333333333333,-1.3198128851804687,1.0,4.0,10.995476269789338,0.06668354261232548,0.07098702841987743,0.06231629831006754,0.07379514275026401,0.07040800742173939,4.0,0.07379514275026401,155.39574930843577,0.7711572815764791,0.6952408137662887,1.0380222225217721,1.0336218027200998,0.7162614534024445,1.0430823899498367,1.446941834885733,-1.2250564872799072,1.0,1.0429244920029246,44.0,48.0,-1.2862591154031655,-0.9162975452732643,0.5035076635703216,1.0500957728595695,1.2647584457745653,63.0,0.41333333333333333
ID118_DCHA,102.6530129494749,0.6887511783846323,0.35356903570563464,0.666016603801037,0.44676196496478393,0.2545471217481901,0.5575503698426979,0.8385995375396054,-0.31559073437303464,0.0,18.0,18.0,-1.4197315010255656,-0.2923081853260815,0.21394944051731368,0.6485198596312969,1.3034760255140567,74.0,0.35333333333333333,-1.5255128726493783,1.0,9.0,11.395339140674302,0.08123272799664705,0.07941395167054473,0.09685220763295997,0.07647878617902217,0.08727207374936502,9.0,0.07647878617902217,102.6530129494749,0.6887511783846323,0.35356903570563464,0.666016603801037,0.44676196496478393,0.2545471217481901,0.5575503698426979,0.8385995375396054,-0.31559073437303464,0.0,0.6889463956340597,18.0,18.0,-1.4197315010255656,-0.2923081853260815,0.21394944051731368,0.6485198596312969,1.3034760255140567,74.0,0.35333333333333333
ID118_IZDA,73.7295204719662,0.4260906688397887,0.1536060600718616,0.36619270205122273,0.1852725165017368,0.13599669444503976,0.41778836397686614,0.6741082437749628,0.09122933958918056,0.0,14.0,16.0,-0.8100382510079844,-0.16617795766642823,0.07424617247738043,0.23864428473519614,0.7671096663987391,98.0,0.31333333333333335,-1.647702459950189,1.0,10.0,8.165701520494352,0.07388795796789203,0.06719415726806258,0.08994982305307919,0.05480336590935807,0.06594814853082398,10.0,0.05480336590935807,73.7295204719662,0.4260906688397887,0.1536060600718616,0.36619270205122273,0.1852725165017368,0.13599669444503976,0.41778836397686614,0.6741082437749628,0.09122933958918056,0.0,0.494828996456149,14.0,16.0,-0.8100382510079844,-0.16617795766642823,0.07424617247738043,0.23864428473519614,0.7671096663987391,98.0,0.31333333333333335
ID119_DCHA,24.12020389099316,0.1554379310096584,0.11289196686813954,0.14667709086030928,0.11826913413818724,0.09574799159715666,0.1473665128532622,0.8908233422677866,-0.17680123940207704,0.0,4.0,0.0,-0.3659241181495415,-0.23924915671720515,0.040781362273978876,0.2296574038639239,0.4423757535278745,148.0,0.34,-1.5962477930150873,1.0,19.0,3.6559722782098087,0.030559885664680955,0.02817627262858927,0.03402454036291166,0.02453672669939469,0.027579901698416415,18.0,0.02453672669939469,24.12020389099316,0.1554379310096584,0.11289196686813954,0.14667709086030928,0.11826913413818724,0.09574799159715666,0.1473665128532622,0.8908233422677866,-0.17680123940207704,0.0,0.16188056302679973,4.0,0.0,-0.3659241181495415,-0.23924915671720515,0.040781362273978876,0.2296574038639239,0.4423757535278745,148.0,0.34
ID119_IZDA,20.557524292381288,0.11122177540743097,0.0768724419842422,0.11697577963682385,0.09004400228316105,0.0654681213952763,0.1269193025206215,1.65866806040965,0.12719385529639737,0.0,0.0,0.0,-0.20111049464556,-0.1342170877168656,0.08035199930673052,0.1328991947460511,0.18284889519216108,150.0,0.30666666666666664,-1.2918034210779614,0.0,18.0,1.8937871298408755,0.014205339331842953,0.013939280727471031,0.01489813786779413,0.012709980737187083,0.012988696794136669,18.0,0.012709980737187083,20.557524292381288,0.11122177540743097,0.0768724419842422,0.11697577963682385,0.09004400228316105,0.0654681213952763,0.1269193025206215,1.65866806040965,0.12719385529639737,0.0,0.13796996169383416,0.0,0.0,-0.20111049464556,-0.1342170877168656,0.08035199930673052,0.1328991947460511,0.18284889519216108,150.0,0.30666666666666664
ID11_DCHA,184.77992388726935,1.104274855032392,0.4522787031888281,1.1038578449892082,0.7749585619978562,0.5925873801462451,1.0908740700489123,0.5874834163200875,-0.7214651166861188,1.0,22.0,24.0,-2.2153361155538636,-0.3838357451259461,0.17478480278549624,0.6434333780765633,2.660062160614666,71.0,0.4066666666666667,-1.677682523810972,1.0,7.0,17.757643629125095,0.13766788095881455,0.13780643284411975,0.17694279850251945,0.11917881630285299,0.13711101030505335,7.0,0.11917881630285299,184.77992388726935,1.104274855032392,0.4522787031888281,1.1038578449892082,0.7749585619978562,0.5925873801462451,1.0908740700489123,0.5874834163200875,-0.7214651166861188,1.0,1.2401337173642237,22.0,24.0,-2.2153361155538636,-0.3838357451259461,0.17478480278549624,0.6434333780765633,2.660062160614666,71.0,0.4066666666666667
ID11_IZDA,239.14871446620964,1.5782440189055034,1.1344195254435698,1.5225208657642577,1.2475327164857957,0.9555589328050621,1.4703608261776713,0.7373124305413514,-0.9121303157421816,1.0,26.0,24.0,-3.3463255528623805,-0.9108605096953557,0.2476119901838674,1.3225556525148499,3.2092221656289905,59.0,0.43333333333333335,-1.8085112056493742,1.0,7.0,23.555844061985727,0.18627889895085223,0.19047316258415067,0.25168621829671795,0.15809291316768945,0.1837125791233028,8.0,0.15809291316768945,239.14871446620964,1.5782440189055034,1.1344195254435698,1.5225208657642577,1.2475327164857957,0.9555589328050621,1.4703608261776713,0.7373124305413514,-0.9121303157421816,1.0,1.6050249293034204,26.0,24.0,-3.3463255528623805,-0.9108605096953557,0.2476119901838674,1.3225556525148499,3.2092221656289905,59.0,0.43333333333333335
ID120_DCHA,137.66349112167725,0.5929199720746968,0.3737944996331048,0.7592509632138037,0.5619082285955866,0.39016249484055704,0.8480313869250604,1.3048119241084022,-0.18746288944012424,0.0,40.0,26.0,-1.1498051918049121,-0.7217637364717227,0.09768059122450423,0.4820387006375577,1.0075709471525343,85.0,0.35333333333333333,-0.969845950516401,0.0,8.0,9.847641566657487,0.05477287214432667,0.06232279632571489,0.06649429316136772,0.06609155413864085,0.07018740924965942,7.0,0.06609155413864085,137.66349112167725,0.5929199720746968,0.3737944996331048,0.7592509632138037,0.5619082285955866,0.39016249484055704,0.8480313869250604,1.3048119241084022,-0.18746288944012424,0.0,0.9239160477964916,40.0,26.0,-1.1498051918049121,-0.7217637364717227,0.09768059122450423,0.4820387006375577,1.0075709471525343,85.0,0.35333333333333333
